order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
101,15830,123,86,4,36.81807110703082,-2.5715247251499234,,,
102,1210,9,58,0,36.80807308742237,-2.530282835964622,,,
103,2381,18,77,4,36.81489916182266,-2.533549012789157,,,
104,10083,78,99,2,36.82277300078408,-2.5552597504220955,,,
105,6191,48,47,5,36.80409420226104,-2.5443792063167257,,,
106,15834,123,90,2,36.8195093764989,-2.5715271970183236,,,
107,4116,32,20,4,36.794396040021184,-2.5385767013659466,,,
108,7215,56,47,8,36.80408930301763,-2.547272149075424,,,
109,4151,32,55,8,36.806980424065266,-2.538598230482373,,,
110,5308,41,60,5,36.8087727141532,-2.5418558671792546,,,
111,3674,28,90,2,36.81956733965711,-2.537173150064449,,,
112,6739,52,83,2,36.81703584950247,-2.5458477854688915,,,
113,7850,61,42,4,36.80228845144403,-2.549077153446604,,,
114,12181,95,21,4,36.79471678339689,-2.5613590970394022,,,
115,15494,121,6,4,36.78930725559586,-2.570751717993588,,,
116,13391,104,79,4,36.81556581510414,-2.564649605852027,,,
117,6804,53,20,8,36.7943831402512,-2.546170626765192,,,
118,12310,96,22,4,36.7950757234229,-2.5617213348597194,,,
119,16152,126,24,4,36.79577624510282,-2.5725710501722308,,,
120,15820,123,76,2,36.81447543943333,-2.5715185383617865,,,
121,788,6,20,0,36.79441195760791,-2.529174697161309,,,
122,13566,105,126,2,36.83246484112479,-2.565040128101924,,,
123,3738,29,26,0,36.79655519326398,-2.537495552656394,,,
124,13238,103,54,2,36.806577341768715,-2.5642725251582466,,,
125,13108,102,52,2,36.80585883346767,-2.563909667435491,,,
126,13812,107,116,2,36.82886793677899,-2.5657572450351784,,,
127,3788,29,76,3,36.814532928685466,-2.5375262276588826,,,
128,11615,90,95,2,36.82132742186826,-2.5595967614107558,,,
129,4336,33,112,2,36.827474616397616,-2.5389946525722573,,,
130,8106,63,42,4,36.80228722388551,-2.5498003882162887,,,
131,11757,91,109,2,36.826360725853135,-2.5599669760787362,,,
132,14190,110,110,2,36.826708696352156,-2.566838430437332,,,
133,260,2,4,6,36.78866162345336,-2.527718394302085,,,
134,3002,23,58,4,36.808064573063675,-2.535345500366464,,,
135,15085,117,109,2,36.82634484784356,-2.5693691775801413,,,
136,12437,97,21,4,36.79471554566921,-2.562082327971682,,,
137,4340,33,116,2,36.828912858698175,-2.538997082676182,,,
138,15155,118,51,2,36.805489398373496,-2.569694936685106,,,
139,660,5,20,6,36.794412568639466,-2.528813081585671,,,
140,133,1,5,6,36.78902178357581,-2.5273573958225817,,,
141,12328,96,40,4,36.801547797622916,-2.5617325198962733,,,
142,785,6,17,6,36.79333330887522,-2.5291728529520205,,,
143,5864,45,104,2,36.8245908690203,-2.543329261660965,,,
144,9718,75,118,2,36.829606550538784,-2.5541865061253284,,,
145,659,5,19,6,36.79405301907365,-2.5288124670372207,,,
146,8044,62,108,2,36.826018804041794,-2.549479292833858,,,
147,14489,113,25,4,36.79614387399219,-2.567870669898243,,,
148,11554,90,34,2,36.799394140160366,-2.559559095505968,,,
149,6487,50,87,2,36.818475305993545,-2.545126991154786,,,
150,8414,65,94,0,36.82098310501642,-2.550555599712015,,,
151,16379,127,123,2,36.83137270807221,-2.572994025064341,,,
152,9721,75,121,2,36.83068524630233,-2.554188337953377,,,
153,5621,43,117,2,36.82926637757089,-2.5426139296716763,,,
154,15967,124,95,2,36.82130660149106,-2.571891906442599,,,
155,15746,123,2,2,36.787867770141304,-2.5714724401399742,,,
156,4466,34,114,2,36.8281931332722,-2.5393574915469763,,,
157,9580,74,108,2,36.826011511847355,-2.553818770354925,,,
158,14053,109,101,2,36.823473200207054,-2.566471272470055,,,
