part,unit,n_windows,n_errors,confidence @0.05,confidence @0.1,confidence @0.2,"boundary, then confidence @0.05","boundary, then confidence @0.1","boundary, then confidence @0.2","NDWI-ambiguous, then boundary, then confidence @0.05","NDWI-ambiguous, then boundary, then confidence @0.1","NDWI-ambiguous, then boundary, then confidence @0.2","NDWI-ambiguous, then confidence @0.05","NDWI-ambiguous, then confidence @0.1","NDWI-ambiguous, then confidence @0.2"
B,116,225,29,0.2413793103448276,0.4827586206896552,0.8275862068965517,0.27586206896551724,0.4827586206896552,0.8275862068965517,0.3793103448275862,0.5862068965517241,0.896551724137931,0.3793103448275862,0.5862068965517241,0.896551724137931
B,117,225,30,0.23333333333333334,0.3,0.6,0.23333333333333334,0.36666666666666664,0.5666666666666667,0.3,0.5,0.8,0.3,0.5,0.7666666666666667
B,118,225,35,0.08571428571428572,0.17142857142857143,0.37142857142857144,0.08571428571428572,0.2,0.45714285714285713,0.17142857142857143,0.42857142857142855,0.8857142857142857,0.17142857142857143,0.42857142857142855,0.8857142857142857
B,119,225,49,0.10204081632653061,0.24489795918367346,0.40816326530612246,0.12244897959183673,0.2857142857142857,0.42857142857142855,0.22448979591836735,0.42857142857142855,0.7142857142857143,0.22448979591836735,0.42857142857142855,0.673469387755102
B,120,225,13,0.6153846153846154,0.8461538461538461,1.0,0.6153846153846154,0.8461538461538461,1.0,0.23076923076923078,0.7692307692307693,1.0,0.23076923076923078,0.7692307692307693,1.0
B,121,225,12,0.4166666666666667,0.8333333333333334,0.9166666666666666,0.5,0.9166666666666666,1.0,0.4166666666666667,1.0,1.0,0.4166666666666667,0.9166666666666666,1.0
B,122,225,60,0.06666666666666667,0.18333333333333332,0.26666666666666666,0.08333333333333333,0.18333333333333332,0.26666666666666666,0.15,0.31666666666666665,0.5,0.15,0.31666666666666665,0.5
B,123,225,15,0.13333333333333333,0.4,0.6666666666666666,0.4,0.6666666666666666,1.0,0.4,0.7333333333333333,1.0,0.4,0.6,0.8666666666666667
B,124,225,21,0.23809523809523808,0.5238095238095238,0.9047619047619048,0.2857142857142857,0.5238095238095238,0.9047619047619048,0.2857142857142857,0.2857142857142857,0.8095238095238095,0.2857142857142857,0.2857142857142857,0.8095238095238095
B,125,225,28,0.17857142857142858,0.25,0.6428571428571429,0.21428571428571427,0.35714285714285715,0.6785714285714286,0.21428571428571427,0.39285714285714285,0.6785714285714286,0.21428571428571427,0.39285714285714285,0.6428571428571429
B,127,225,17,0.23529411764705882,0.5882352941176471,0.9411764705882353,0.23529411764705882,0.7647058823529411,1.0,0.17647058823529413,0.47058823529411764,1.0,0.17647058823529413,0.47058823529411764,0.8823529411764706
B,128,225,19,0.3157894736842105,0.7368421052631579,1.0,0.3157894736842105,0.7368421052631579,0.9473684210526315,0.10526315789473684,0.5789473684210527,0.9473684210526315,0.10526315789473684,0.5789473684210527,1.0
B,130,225,8,0.25,0.625,0.75,0.75,1.0,1.0,0.875,1.0,1.0,0.625,0.875,1.0
B,131,225,10,0.2,0.4,0.6,0.3,0.6,1.0,0.6,0.8,1.0,0.6,0.8,0.9
B,132,225,8,0.25,0.25,0.5,0.25,0.625,1.0,0.625,0.875,1.0,0.5,0.625,0.75
B,133,225,16,0.375,0.5625,0.8125,0.375,0.625,0.9375,0.4375,0.625,0.9375,0.4375,0.625,0.8125
B,134,225,16,0.375,0.5625,0.8125,0.4375,0.625,1.0,0.3125,0.6875,1.0,0.3125,0.6875,0.875
B,136,225,21,0.14285714285714285,0.38095238095238093,0.7142857142857143,0.14285714285714285,0.38095238095238093,0.7619047619047619,0.19047619047619047,0.42857142857142855,0.6666666666666666,0.19047619047619047,0.42857142857142855,0.6666666666666666
B,137,225,16,0.25,0.4375,0.8125,0.25,0.625,0.9375,0.5,0.8125,1.0,0.5,0.8125,1.0
B,138,225,9,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.8888888888888888,1.0,0.7777777777777778,1.0,1.0,0.4444444444444444,0.6666666666666666,1.0
B,139,225,41,0.12195121951219512,0.34146341463414637,0.43902439024390244,0.14634146341463414,0.34146341463414637,0.5365853658536586,0.1951219512195122,0.34146341463414637,0.6341463414634146,0.1951219512195122,0.34146341463414637,0.5853658536585366
B,140,225,15,0.26666666666666666,0.4666666666666667,0.7333333333333333,0.4,0.5333333333333333,1.0,0.4,0.7333333333333333,1.0,0.4,0.6666666666666666,0.9333333333333333
B,141,225,8,0.375,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.375,0.625,1.0
B,142,225,15,0.26666666666666666,0.4666666666666667,0.7333333333333333,0.4,0.8,1.0,0.26666666666666666,0.8,1.0,0.2,0.5333333333333333,0.8
B,143,225,9,0.4444444444444444,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,0.5555555555555556,0.8888888888888888
B,144,225,23,0.13043478260869565,0.34782608695652173,0.5217391304347826,0.21739130434782608,0.391304347826087,0.782608695652174,0.391304347826087,0.6086956521739131,0.9130434782608695,0.391304347826087,0.5652173913043478,0.8260869565217391
B,145,225,5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0
B,147,225,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0
B,148,225,34,0.14705882352941177,0.3235294117647059,0.6470588235294118,0.14705882352941177,0.3235294117647059,0.7058823529411765,0.17647058823529413,0.35294117647058826,0.7058823529411765,0.17647058823529413,0.3235294117647059,0.7058823529411765
B,149,225,9,0.4444444444444444,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.6666666666666666,1.0,0.2222222222222222,0.5555555555555556,1.0,0.2222222222222222,0.4444444444444444,0.7777777777777778
B,151,225,9,0.5555555555555556,0.8888888888888888,1.0,0.5555555555555556,1.0,1.0,0.5555555555555556,1.0,1.0,0.4444444444444444,0.8888888888888888,1.0
B,152,225,4,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B,153,225,26,0.23076923076923078,0.4230769230769231,0.7307692307692307,0.23076923076923078,0.46153846153846156,0.8076923076923077,0.3076923076923077,0.5384615384615384,0.9230769230769231,0.3076923076923077,0.5,0.8846153846153846
B,154,225,15,0.26666666666666666,0.4,0.8,0.26666666666666666,0.6666666666666666,0.9333333333333333,0.5333333333333333,0.7333333333333333,1.0,0.5333333333333333,0.6666666666666666,1.0
B,155,225,54,0.05555555555555555,0.14814814814814814,0.37037037037037035,0.09259259259259259,0.2222222222222222,0.5370370370370371,0.2037037037037037,0.3888888888888889,0.6481481481481481,0.2037037037037037,0.3888888888888889,0.6296296296296297
B,156,225,12,0.4166666666666667,0.6666666666666666,1.0,0.5833333333333334,1.0,1.0,0.25,0.75,1.0,0.25,0.6666666666666666,1.0
B,159,225,3,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
B,163,225,8,0.875,0.875,0.875,0.875,0.875,1.0,0.75,0.875,1.0,0.75,0.875,0.875
