task,unit,n_windows,n_errors,signal,eaurc,capture@0.05,capture@0.1,capture@0.2
sen1floods11,chip17,256,8,accuracy-weighted vote (all outside partners),0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip17,256,8,"weighted disagreement (olmoearth_nano, same family)",0.02701864779508203,0.16289370078740156,0.20767716535433073,0.29379921259842523
sen1floods11,chip17,256,8,"weighted disagreement (olmoearth_tiny, same family)",0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip17,256,8,"weighted disagreement (olmoearth_large, same family)",0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip17,256,8,weighted disagreement (galileo_base),0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip17,256,8,weighted disagreement (panopticon),0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip17,256,8,combination conf+weighted disagreement (U+),0.00035171955701269585,0.875,1.0,1.0
sen1floods11,chip18,256,10,confidence (OlmoEarth),0.003701583735548819,0.2,0.6,0.9
sen1floods11,chip18,256,10,constant score,0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip18,256,10,disagreement (selected partner),0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,weighted disagreement (selected partner),0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,accuracy-weighted vote (all outside partners),0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,"weighted disagreement (olmoearth_nano, same family)",0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,"weighted disagreement (olmoearth_tiny, same family)",0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,"weighted disagreement (olmoearth_large, same family)",0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,weighted disagreement (galileo_base),0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,weighted disagreement (panopticon),0.03836582304976718,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip18,256,10,combination conf+weighted disagreement (U+),0.003701583735548819,0.2,0.6,0.9
sen1floods11,chip20,256,10,confidence (OlmoEarth),0.004189209235697627,0.3,0.6,0.8
sen1floods11,chip20,256,10,constant score,0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip20,256,10,disagreement (selected partner),0.03209929946050271,0.20327868852459016,0.2459016393442623,0.3278688524590164
sen1floods11,chip20,256,10,weighted disagreement (selected partner),0.032114446180201726,0.20327868852459016,0.2459016393442623,0.3278688524590164
sen1floods11,chip20,256,10,accuracy-weighted vote (all outside partners),0.0325005667904082,0.2,0.23651452282157676,0.3195020746887967
sen1floods11,chip20,256,10,"weighted disagreement (olmoearth_nano, same family)",0.028095953843756908,0.3057142857142857,0.34285714285714286,0.41428571428571426
sen1floods11,chip20,256,10,"weighted disagreement (olmoearth_tiny, same family)",0.03227370769969753,0.2,0.242798353909465,0.32510288065843623
sen1floods11,chip20,256,10,"weighted disagreement (olmoearth_large, same family)",0.027780030661776346,0.311336032388664,0.3481781376518219,0.4190283400809717
sen1floods11,chip20,256,10,weighted disagreement (galileo_base),0.03225921695522949,0.2,0.242798353909465,0.32510288065843623
sen1floods11,chip20,256,10,weighted disagreement (panopticon),0.03232418102260678,0.2,0.2396694214876033,0.32231404958677684
sen1floods11,chip20,256,10,combination conf+weighted disagreement (U+),0.004476756021987476,0.3,0.5,0.8
sen1floods11,chip24,256,14,confidence (OlmoEarth),0.0012964703834912456,0.5714285714285714,0.9285714285714286,1.0
sen1floods11,chip24,256,14,constant score,0.05305744030360109,0.05078125,0.1015625,0.19921875
