arm,signal,n,n_errors,error_rate_naive,error_rate_weighted,excess_aurc_naive,excess_aurc_weighted,capture_05_naive,capture_10_naive,capture_20_naive,capture_05_weighted,capture_10_weighted,capture_20_weighted
purity_0.75,boundary_first,1860,528,0.2838709677419355,0.30458386491482276,0.10514929994698223,0.11122767987774676,0.1268939393939394,0.22916666666666666,0.3996212121212121,0.11160577857210983,0.20655661578537196,0.3706124145705805
purity_0.75,boundary_only,1860,528,0.2838709677419355,0.30458386491482276,0.14388490525048042,0.15660721620278875,0.12587630031659883,0.2209182951005381,0.3803797174195947,0.12025375478540178,0.21186515240829487,0.3704230614560453
purity_0.75,ctl_pixel_variance,1860,528,0.2838709677419355,0.30458386491482276,0.24951513299470962,0.2591192014582455,0.06818181818181818,0.12121212121212122,0.2196969696969697,0.07130223212418162,0.12710117295767515,0.2207761575538417
purity_0.75,ctl_class_rarity,1860,528,0.2838709677419355,0.30458386491482276,0.26609445275186766,0.40794679805338807,0.05925173522938886,0.09959581852039953,0.19816157262277953,0.11755248004179444,0.15412036965243678,0.22574602463928328
purity_0.75,ctl_polygon_area,1860,528,0.2838709677419355,0.30458386491482276,0.21485302634913556,0.2219560984947123,0.06818181818181818,0.12121212121212122,0.22537878787878787,0.05792211671392402,0.11436897570132007,0.21064616769789324
purity_0.75,ctl_window_impurity,1860,528,0.2838709677419355,0.30458386491482276,0.2261283524996589,0.24284066256512246,0.05182506887052341,0.10774410774410774,0.22032828282828282,0.050662342178654896,0.10138573553325184,0.22435508848871957
filtered_field_report,margin,1145,299,0.2611353711790393,0.28544473386547903,0.08347736956462745,0.07846791648607253,0.12709030100334448,0.23745819397993312,0.411371237458194,0.10923572475354873,0.2098190200506252,0.39296870146488405
filtered_field_report,one_minus_top1,1145,299,0.2611353711790393,0.28544473386547903,0.1204551417231618,0.12318157533423411,0.10033444816053512,0.20735785953177258,0.3712374581939799,0.11462761503897939,0.21158295333738816,0.36746765872885057
filtered_field_report,entropy,1145,299,0.2611353711790393,0.28544473386547903,0.18007723525398875,0.20790753202082096,0.09364548494983277,0.17391304347826086,0.3277591973244147,0.10140254392256329,0.19505195358181635,0.32261697151712515
filtered_field_report,boundary_first,1145,299,0.2611353711790393,0.28544473386547903,0.09301461170140268,0.09328832999133434,0.13043478260869565,0.2408026755852843,0.4180602006688963,0.11208648282372362,0.2157746353141617,0.3985702272154005
filtered_field_report,boundary_only,1145,299,0.2611353711790393,0.28544473386547903,0.13862114953140373,0.14809715636526571,0.1423183661851562,0.2427536231884058,0.37868162692847124,0.13819378587329503,0.23757863368138557,0.363394892013741
filtered_field_report,ctl_pixel_variance,1145,299,0.2611353711790393,0.28544473386547903,0.25675447266163126,0.25967773101128266,0.05016722408026756,0.09364548494983277,0.1806020066889632,0.06240452742833677,0.10477846740178158,0.18913853834703304
filtered_field_report,ctl_class_rarity,1145,299,0.2611353711790393,0.28544473386547903,0.2618902024270728,0.39658342103947253,0.04522320779409626,0.08184615384615385,0.178149386845039,0.07774816064251744,0.11168411389934578,0.2563257434479936
filtered_field_report,ctl_polygon_area,1145,299,0.2611353711790393,0.28544473386547903,0.21077055708022086,0.21461782576331212,0.056856187290969896,0.12374581939799331,0.23411371237458195,0.077499901701455,0.1417941081867566,0.24240806609551363
filtered_field_report,ctl_window_impurity,1145,299,0.2611353711790393,0.28544473386547903,0.22065076329869873,0.23913486404195583,0.05518394648829431,0.1106719367588933,0.2393512967754149,0.0654984645676497,0.12254898151271086,0.23263378468200363
unfiltered_field_report,margin,4778,1902,0.3980745081624111,0.41523500586962153,0.14321969097169068,0.146773622510799,0.08675078864353312,0.16824395373291273,0.31650893796004204,0.08276907124384353,0.16456507248020943,0.3021606632790674
unfiltered_field_report,one_minus_top1,4778,1902,0.3980745081624111,0.41523500586962153,0.14889138016313708,0.1651160982556339,0.08990536277602523,0.17034700315457413,0.3249211356466877,0.09133220943530901,0.16814252268541996,0.3167163815110509
unfiltered_field_report,entropy,4778,1902,0.3980745081624111,0.41523500586962153,0.17290438264659502,0.21017603024479187,0.083596214511041,0.1661409043112513,0.3207150368033649,0.08289205594692642,0.16109023147358897,0.31766315699635833
unfiltered_field_report,boundary_first,4778,1902,0.3980745081624111,0.41523500586962153,0.14818728383523838,0.14658520655411317,0.08832807570977919,0.17087276550998948,0.32018927444794953,0.08312343185728835,0.16553730785513696,0.3074282475327116
unfiltered_field_report,boundary_only,4778,1902,0.3980745081624111,0.41523500586962153,0.1816127461106366,0.1758099572838751,0.09362044126979714,0.17670913522281725,0.3237485328830539,0.09527973905296157,0.17893660724167038,0.3286055450245426
unfiltered_field_report,ctl_pixel_variance,4778,1902,0.3980745081624111,0.41523500586962153,0.26009271863809574,0.2420731212156022,0.04574132492113565,0.10147213459516298,0.222397476340694,0.07376578744873426,0.14865025769517062,0.2836203382929985
unfiltered_field_report,ctl_class_rarity,4778,1902,0.3980745081624111,0.41523500586962153,0.30838409411754414,0.44691140531990753,0.03709879325021281,0.07464426079412106,0.15326916846061953,0.10092487737674756,0.15484763104133087,0.22943241660172645
unfiltered_field_report,ctl_polygon_area,4778,1902,0.3980745081624111,0.41523500586962153,0.22005105546739384,0.2089452438020864,0.06046267087276551,0.12670872765509988,0.2513144058885384,0.07220137276212535,0.15002258111132658,0.31398594233250054
unfiltered_field_report,ctl_window_impurity,4778,1902,0.3980745081624111,0.41523500586962153,0.22452100734226038,0.22051104079907557,0.057308096740273394,0.12171572621360574,0.25504365050253097,0.0667428517205823,0.1517227858629774,0.3083085702610353
deleted_by_filter_field_report,margin,3633,1603,0.441233140655106,0.48082429794219106,0.1657592902224641,0.19252075559350526,0.07860262008733625,0.15408608858390518,0.29008109794135994,0.07205258533184636,0.14546680304703377,0.26575238375625726
deleted_by_filter_field_report,one_minus_top1,3633,1603,0.441233140655106,0.48082429794219106,0.1640496683110665,0.1997494108207943,0.07985028072364317,0.15970056144728634,0.3006862133499688,0.07635345339080236,0.1532050097283159,0.27858318356083006
deleted_by_filter_field_report,entropy,3633,1603,0.441233140655106,0.48082429794219106,0.17771122329013372,0.2251710158367841,0.07610729881472239,0.15283842794759825,0.30193387398627575,0.07031753235519081,0.13972821833477145,0.2904252999938461
deleted_by_filter_field_report,boundary_first,3633,1603,0.441233140655106,0.48082429794219106,0.17995587277097802,0.1947640489542203,0.0792264504054897,0.15470991890205865,0.2913287585776669,0.0721156898988699,0.14546680304703377,0.26653757280305274
deleted_by_filter_field_report,boundary_only,3633,1603,0.441233140655106,0.48082429794219106,0.21497687402676136,0.2127891470857892,0.08428574413405487,0.1615303478679426,0.2990212317422075,0.08276795729601313,0.15680977291700915,0.2925232438044167
deleted_by_filter_field_report,ctl_pixel_variance,3633,1603,0.441233140655106,0.48082429794219106,0.2899886466781293,0.25320884331485316,0.03867747972551466,0.08858390517779165,0.2052401746724891,0.0676940420347879,0.1305806320160724,0.2644464730477972
deleted_by_filter_field_report,ctl_class_rarity,3633,1603,0.441233140655106,0.48082429794219106,0.33022234542489926,0.5003977607798942,0.03738417296836724,0.07948475514660013,0.20486962884441298,0.0756670604629927,0.09593082069042679,0.13645834114529498
deleted_by_filter_field_report,ctl_polygon_area,3633,1603,0.441233140655106,0.48082429794219106,0.26060446047508334,0.2456847067613109,0.053025577043044295,0.11166562694946974,0.22769806612601373,0.059799148948369095,0.1281725347720687,0.27234491598306926
deleted_by_filter_field_report,ctl_window_impurity,3633,1603,0.441233140655106,0.48082429794219106,0.26175966028089365,0.24533847072656587,0.050530255770430445,0.10710895332121836,0.23287453046813822,0.05363823553575268,0.12096545381432165,0.2661501675514734
matched_field,margin,3575,1341,0.3751048951048951,0.41733117270971637,0.12840470541825905,0.14787371813727995,0.0924683072334079,0.18269947800149142,0.33184190902311705,0.08273625617938014,0.1635434832055563,0.29838014900238086
matched_field,one_minus_top1,3575,1341,0.3751048951048951,0.41733117270971637,0.13744766964023522,0.16661009133753663,0.09545115585384041,0.1789709172259508,0.33855331841909025,0.09162787517844417,0.1664230732039451,0.3144026210211597
matched_field,entropy,3575,1341,0.3751048951048951,0.41733117270971637,0.1644021551312185,0.21022563202396333,0.08575689783743475,0.1703952274422073,0.3303504847129008,0.08117321891944906,0.16077541341873144,0.31715517940780696
matched_field,boundary_first,3575,1341,0.3751048951048951,0.41733117270971637,0.13253002555080245,0.14755461276698717,0.09321401938851603,0.18419090231170768,0.3378076062639821,0.08319899823622606,0.1645676793486171,0.3060199160148059
matched_field,boundary_only,3575,1341,0.3751048951048951,0.41733117270971637,0.16845834260330572,0.17757419256869456,0.09697963418418629,0.1827430232368262,0.3315512076745156,0.09570727010546054,0.1805108486788357,0.32797692777711174
matched_field,ctl_pixel_variance,3575,1341,0.3751048951048951,0.41733117270971637,0.2405554913892158,0.23903347124001612,0.05741983594332588,0.11409395973154363,0.23788217747949292,0.07478523192538884,0.15155268297033292,0.28514050654323314
matched_field,ctl_class_rarity,3575,1341,0.3751048951048951,0.41733117270971637,0.30499891932544865,0.5051949125600442,0.039037327817877394,0.0909344440200554,0.17720530835284934,0.10801855091220977,0.13046801502839697,0.1559957003688676
matched_field,ctl_polygon_area,3575,1341,0.3751048951048951,0.41733117270971637,0.20867589019418767,0.20807951758812882,0.06263982102908278,0.13049962714392244,0.2595078299776286,0.07332146155901792,0.151608901284216,0.3164926182279507
matched_field,ctl_window_impurity,3575,1341,0.3751048951048951,0.41733117270971637,0.21020829425296442,0.22046298493064193,0.05929987081324638,0.12649871932042928,0.26348496147153866,0.06611509797688132,0.15250191750559,0.31028934442635847
matched_photo,margin,2264,1431,0.6320671378091873,0.6087074022911618,0.2708557381898927,0.2506293794537775,0.06219426974143955,0.12159329140461216,0.24109014675052412,0.06521683851960618,0.1296028153265454,0.2530915955179667
matched_photo,one_minus_top1,2264,1431,0.6320671378091873,0.6087074022911618,0.26906753287365937,0.2507978610812447,0.06219426974143955,0.1243885394828791,0.24528301886792453,0.06838958816458206,0.13312819412094096,0.2587063650366145
matched_photo,entropy,2264,1431,0.6320671378091873,0.6087074022911618,0.2770682018830015,0.2616208722865757,0.06359189378057302,0.11949685534591195,0.2348008385744235,0.06819065577089753,0.13252937222236563,0.2505593487211371
matched_photo,boundary_first,2264,1431,0.6320671378091873,0.6087074022911618,0.23431737627439525,0.21202332760032033,0.06289308176100629,0.12368972746331237,0.2431865828092243,0.06564976787644014,0.13107047019827717,0.2558699829747603
matched_photo,boundary_only,2264,1431,0.6320671378091873,0.6087074022911618,0.23157347357018415,0.20901546991968756,0.06920207478272852,0.13552246155628694,0.26107211942596137,0.07388040015120624,0.145156209697482,0.27462207845265635
matched_photo,ctl_pixel_variance,2264,1431,0.6320671378091873,0.6087074022911618,0.2736851605182371,0.2296453996418969,0.0517120894479385,0.1069182389937107,0.2180293501048218,0.06101724264865417,0.11806314699704477,0.24574536050892032
matched_photo,ctl_class_rarity,2264,1431,0.6320671378091873,0.6087074022911618,0.43674123246859187,0.47168037746033953,0.05997240588435557,0.12849463102268627,0.23484718835123147,0.07169542211686508,0.14519601664922274,0.2636284794785277
