part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,head_acc,n_tiles_scored,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,W/L_vs_confidence,sign_p_vs_confidence,spearman_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,spearman_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,spearman_vs_boundary,W/L_vs_control,sign_p_vs_control,spearman_vs_control
B,test/tile352,225,8,contradiction (OlmoEarth neighbours),0.007720895523002987,0.007002275990217238,0.07180555555555555,,,-0.004747238701257028,-0.006191932306682933,-0.00678823669229206,0.00965144209465401,,,0.7676317969543902,,,0.7117999021543148,,,0.5084976066221791,,,0.41508329513594505
B,test/tile352,225,8,combination conf+pixel contradiction (secondary),0.0013126151580537732,0.0005939956252680246,0.5,,,0.001661041663692185,0.00021634805826627993,-0.00037995632734284714,0.016059722459603222,,,0.9958686240354437,,,0.8538831931539289,,,0.5312653955594386,,,0.5445988962278973
B,test/tile355,225,13,confidence (baseline),0.0039999908384148915,0.0021695475422542467,-7.545121673478021,,,0.0,0.0001100028849344457,0.003995687089084996,0.002432254381120523,,,,,,,,,,,,
B,test/tile355,225,13,tile-phase (aligned),0.004109993723349337,0.0022795504271886924,0.02462301215697961,,,-0.0001100028849344457,0.0,0.00388568420415055,0.0023222514961860775,,,,,,,,,,,,
B,test/tile355,225,13,boundary indicator,0.007995677927499887,0.0061652346313392425,0.051111111111111114,,,-0.003995687089084996,-0.00388568420415055,0.0,-0.0015634327079644727,,,,,,,,,,,,
B,test/tile355,225,13,control NDWI gradient,0.006432245219535415,0.00460180192337477,0.029243752384911375,,,-0.002432254381120523,-0.0023222514961860775,0.0015634327079644727,0.0,,,,,,,,,,,,
B,test/tile355,225,13,constant score,0.05777777777777779,0.05594733448161714,0.0,,,-0.053777786939362894,-0.05366778405442845,-0.0497820998502779,-0.051345532558242375,,,,,,,,,,,,
B,test/tile355,225,13,control S2 patch variance,0.030311902931649166,0.02848145963548852,77.49872485373744,,,-0.026311912093234274,-0.026201909208299828,-0.022316225004149277,-0.02387965771211375,,,,,,,,,,,,
B,test/tile355,225,13,control NDWI level,0.0019985744044161533,0.00016813110825550847,-0.40771509331431843,,,0.002001416433998738,0.002111419318933184,0.0059971035230837345,0.004433670815119261,,,,,,,,,,,,
B,test/tile355,225,13,contradiction (pixel-statistics neighbours),0.002122127743568054,0.00029168444740740925,0.030972222222222224,,,0.0018778630948468374,0.001987865979781283,0.005873550183931833,0.004310117475967361,,,0.5058333349138744,,,0.5034085396439699,,,0.7376269039431621,,,0.4654544817808698
B,test/tile355,225,13,contradiction (OlmoEarth neighbours),0.008332623693308287,0.006502180397147642,0.0475,,,-0.004332632854893395,-0.004222629969958949,-0.0003369457658083993,-0.001900378473772872,,,0.6740881095152355,,,0.6301196389627747,,,0.5920123241784958,,,0.6062914958773784
B,test/tile355,225,13,combination conf+pixel contradiction (secondary),0.002709281453841073,0.000878838157680428,0.5,,,0.0012907093845738187,0.0014007122695082644,0.005286396473658814,0.003722963765694342,,,0.9986741459515428,,,0.8722697388695588,,,0.4636161002377628,,,0.7703064529638939
B,test/tile357,225,40,confidence (baseline),0.04359802489945677,0.026371375132459553,-3.7479340045981937,,,0.0,-0.00043748084262707626,-0.009297708672664225,0.15117125558582578,,,,,,,,,,,,
B,test/tile357,225,40,tile-phase (aligned),0.043160544056829696,0.025933894289832476,0.09261064143979134,,,0.00043748084262707626,0.0,-0.008860227830037148,0.15160873642845285,,,,,,,,,,,,
B,test/tile357,225,40,boundary indicator,0.03430031622679255,0.017073666459795328,0.24,,,0.009297708672664225,0.008860227830037148,0.0,0.16046896425849,,,,,,,,,,,,
B,test/tile357,225,40,control NDWI gradient,0.19476928048528255,0.17754263071828533,0.036129351944500614,,,-0.15117125558582578,-0.15160873642845285,-0.16046896425849,0.0,,,,,,,,,,,,
