window,map,axis,rank,period_px,whitened_power,p_bonferroni,matches,harmonic_of,n_bins,n_strips
savuti_north,change_gradient,row,2,5.919236417033774,86.99624094915454,2.2136930818257875e-35,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1340,1
savuti_north,change_gradient,row,3,10.664021164021165,85.59995340943979,8.943703259853334e-35,warp duplication beat,window 128 px (h=13);window 256 px (h=26);window 256 px (h=27),1340,1
savuti_north,change_gradient,row,4,17.75770925110132,79.63288949157675,3.4912448989398194e-32,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1340,1
savuti_north,change_gradient,row,5,8.87885462555066,79.3811974373254,4.4904388276829886e-32,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1340,1
savuti_north,change_gradient,row,6,3.5515418502202647,55.32020329155416,1.264287287438966e-21,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=39);window 128 px (h=40);warp duplication beat (h=3),1340,1
savuti_north,change_gradient,row,7,5.324966974900925,50.91291311016899,1.0373076409948617e-19,,window 128 px (h=27);warp duplication beat (h=2),1340,1
savuti_north,change_gradient,row,8,4.844951923076923,50.61088308884676,1.4030642165898137e-19,,window 128 px (h=29),1340,1
savuti_north,worldcover_boundary,col,1,11.855882352941176,6.690438391628601,1.0,,window 32 px (h=3);window 64 px (h=6);window 128 px (h=12);window 256 px (h=24);window 512 px (h=47);window 512 px (h=48),1340,1
savuti_north,worldcover_boundary,col,2,6.239938080495357,6.45239690074929,1.0,,window 128 px (h=23);window 256 px (h=45);window 256 px (h=46),1340,1
savuti_north,worldcover_boundary,col,3,4.897934386391252,6.429925988512806,1.0,,window 128 px (h=29),1340,1
savuti_north,worldcover_boundary,col,4,4.164256198347108,6.359063882910758,1.0,,window 64 px (h=17);window 128 px (h=34),1340,1
savuti_north,worldcover_boundary,col,5,12.596874999999999,6.116217021834598,1.0,,window 128 px (h=11);window 256 px (h=22);window 512 px (h=44);window 512 px (h=45),1340,1
savuti_north,worldcover_boundary,col,6,12.105105105105105,5.937881879998022,1.0,,window 256 px (h=23);window 512 px (h=46);window 512 px (h=47),1340,1
savuti_north,worldcover_boundary,col,7,13.526845637583891,5.4135242673367,1.0,,window 256 px (h=21);window 512 px (h=41);window 512 px (h=42),1340,1
savuti_north,worldcover_boundary,col,8,5.410738255033557,4.914003066818987,1.0,,window 64 px (h=13);window 128 px (h=26);warp duplication beat (h=2),1340,1
savuti_north,worldcover_boundary,row,1,13.948096885813149,8.780790150857579,0.20589987790870146,,window 64 px (h=5);window 128 px (h=10);window 256 px (h=20);window 512 px (h=40);window 512 px (h=41),1340,1
savuti_north,worldcover_boundary,row,2,45.80681818181819,7.537504012120567,0.7138523582582661,,,1340,1
savuti_north,worldcover_boundary,row,3,3.883429672447013,5.897386688305137,1.0,,window 32 px (h=9);window 64 px (h=18);window 128 px (h=36);window 128 px (h=37),1340,1
savuti_north,worldcover_boundary,row,4,8.19308943089431,5.710532990889687,1.0,,window 128 px (h=17);window 256 px (h=34);window 256 px (h=35),1340,1
savuti_north,worldcover_boundary,row,5,4.055331991951711,5.665539052187541,1.0,,window 128 px (h=35),1340,1
savuti_north,worldcover_boundary,row,6,3.191607284243864,5.571777389904876,1.0,,window 32 px (h=11);window 64 px (h=22);window 128 px (h=44);window 128 px (h=45),1340,1
savuti_north,worldcover_boundary,row,7,8.045908183632735,5.338395218518111,1.0,,window 256 px (h=35),1340,1
savuti_north,worldcover_boundary,row,8,3.0217391304347827,5.312311115766463,1.0,,window 64 px (h=23);window 128 px (h=46);window 128 px (h=47),1340,1
kwando,class_boundary,col,1,17.51948051948052,737.5368354286841,0.0,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1345,1
kwando,class_boundary,col,2,8.75974025974026,674.1594876026052,2.2129769774732823e-290,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1345,1
kwando,class_boundary,col,3,5.8398268398268405,524.6285747492086,1.9294219812647583e-225,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48);warp duplication beat (h=2),1345,1
kwando,class_boundary,col,4,4.37987012987013,453.82652141307375,1.082351425069841e-194,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1345,1
kwando,class_boundary,col,5,3.503896103896104,322.5323252214265,1.1342615367783087e-137,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1345,1
kwando,class_boundary,col,6,5.249027237354086,150.53895215952278,5.629710338245346e-63,,window 128 px (h=27),1345,1
kwando,class_boundary,col,7,6.580487804878048,148.3132083699002,5.2133189514218e-62,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1345,1
kwando,class_boundary,col,8,3.506932409012131,114.54470384376312,2.413178646673481e-47,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1345,1
kwando,class_boundary,row,1,8.812636165577342,755.6936298698887,0.0,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1345,1
kwando,class_boundary,row,2,4.406318082788671,466.5945682530257,3.0851480232763036e-200,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1345,1
