scene,n_errors,signal,aurc,eaurc,diff_vs_baseline,diff_ci_lo,diff_ci_hi,frac_better
cuando_80,61,control,0.009273066998781571,0.007433358089793054,0.002081593946358656,-0.0035300208402927,0.01059076417981424,0.312
delta,29,baseline,0.02575075437536097,0.025332070409544077,,,,
delta,29,E_case,0.010348685715357239,0.009930001749540349,-0.015402068660003728,-0.03713484884419628,-0.002905061780395081,0.994
delta,29,tile-phase (aligned),0.0008550506165491231,0.00043636665073223295,-0.024895703758811845,-0.05578995063310146,-0.00615857103317505,1.0
delta,29,"tile-phase (unaligned, exp11)",0.007599244526857769,0.007180560561040879,-0.018151509848503198,-0.04312964021745832,-0.001899166712533184,0.996
delta,29,E_dist,0.001397559960222627,0.0009788759944057367,-0.024353194415138342,-0.05585778135496621,-0.005639971364026331,0.995
delta,29,control,0.00047076790111707064,5.2083935300180535e-05,-0.0252799864742439,-0.05681315916900405,-0.0062197090294777305,1.0
kafue,11,baseline,0.00023524608744432917,0.00017209758400204783,,,,
kafue,11,E_case,8.162981792789058e-05,1.848131448560924e-05,-0.0001536162695164386,-0.0005717633270681602,1.5812235826835128e-05,0.92806484295846
kafue,11,tile-phase (aligned),0.0001046090165639645,4.1460513121683164e-05,-0.00013063707088036466,-0.0004625084234291169,-1.912017100287313e-06,0.9868287740628167
kafue,11,"tile-phase (unaligned, exp11)",0.0001406486019092613,7.750009846697997e-05,-9.459748553506786e-05,-0.0003725613814744278,5.778161069226079e-06,0.9098277608915907
kafue,11,E_dist,0.00013094701982492048,6.779851638263914e-05,-0.00010429906761940869,-0.0004984102999621477,5.775559137628044e-05,0.8135764944275583
kafue,11,control,0.01283400246810696,0.012770853964664678,0.01259875638066263,0.0009996571410892633,0.028134490952986903,0.0
kafue_20,77,baseline,0.01641161588345983,0.013474090234631024,,,,
kafue_20,77,E_case,0.024417560112584797,0.02148003446375599,0.008005944229124966,0.002278908467851165,0.013963935305997502,0.002
kafue_20,77,tile-phase (aligned),0.007830105576510604,0.004892579927681797,-0.008581510306949227,-0.01462337307896188,-0.004112448099757205,1.0
kafue_20,77,"tile-phase (unaligned, exp11)",0.01804101438451267,0.015103488735683863,0.0016293985010528388,-0.003913036792925313,0.006597579009944114,0.252
kafue_20,77,E_dist,0.040710484251154505,0.0377729586023257,0.024298868367694675,0.004540281604410894,0.049980565481786275,0.002
kafue_20,77,control,0.028713855305939937,0.02577632965711113,0.012302239422480106,-0.000327505733474225,0.02929835036257706,0.03
kafue_50,48,baseline,0.027150550591111194,0.026011457078307463,,,,
kafue_50,48,E_case,0.027451975544882955,0.026312882032079224,0.000301424953771761,-0.008118540783246676,0.01155188028418568,0.432
kafue_50,48,tile-phase (aligned),0.002718730249918756,0.0015796367371150263,-0.024431820341192435,-0.039992564829511794,-0.009290301550708452,1.0
kafue_50,48,"tile-phase (unaligned, exp11)",0.020424193872869416,0.019285100360065685,-0.006726356718241778,-0.024060992837643944,0.008341150531298552,0.81
kafue_50,48,E_dist,0.008852795331344657,0.007713701818540927,-0.018297755259766537,-0.03335756021536129,-0.0035780985417784143,0.998
kafue_50,48,control,0.00994644006941406,0.008807346556610331,-0.01720411052169713,-0.03550505616741367,0.002267771773182546,0.959
