part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,bank_scenes,primary_used,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,cuando_20,1024,49,control NDWI level,0.0145981085701191,0.013411153921057996,-0.19716515467440648,-0.011109259890865218,-0.0121240659937104,-0.010195577609170572,-0.005362811760349542,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_20,1024,49,contradiction (OlmoEarth neighbours),0.0022324592944372463,0.0010455046453761432,0.049591064453125,0.0012563893848166353,0.00024158328197145234,0.002170071666511281,0.00700283751533231,28,contradiction (AnySat local neighbours),0.6833108018507256,0.6010210270034402,0.4168994464248054,0.40034941714613903,,,,,,,,,,
A,cuando_20,1024,49,entropy (OlmoEarth neighbours),0.0025349143672022557,0.0013479597181411526,0.14128643776161776,0.0009539343120516259,-6.087179079355704e-05,0.0018676165937462717,0.006700382442567301,28,contradiction (AnySat local neighbours),0.6830192691167265,0.6006206941570517,0.4164690817571899,0.40240385649595733,,,,,,,,,,
A,cuando_20,1024,49,contradiction (pixel-statistics neighbours),0.01739099636445749,0.016204041715396387,0.170318603515625,-0.01390214768520361,-0.014916953788048791,-0.012988465403508963,-0.008155699554687933,28,contradiction (AnySat local neighbours),0.4008837881403612,0.5395480952799566,0.47047227539865394,0.5698797789949739,,,,,,,,,,
A,cuando_20,1024,49,contradiction (AnySat local neighbours),0.002911007488072726,0.001724052839011623,0.057464599609375,0.0005778411911811555,-0.00043696491166402745,0.0014915234728758013,0.006324289321696831,28,contradiction (AnySat local neighbours),0.4236281601469956,0.4807672754216534,0.477164029202268,0.5788867568211755,,,,,,,,,,
A,cuando_20,1024,49,entropy (AnySat local neighbours),0.007337649490481047,0.006150694841419944,0.108345902428546,-0.0038488008112271656,-0.0048636069140723485,-0.00293511852953252,0.0018976473192885094,28,contradiction (AnySat local neighbours),0.4097431051267952,0.4672506456691771,0.45490275022794285,0.5785960687764605,,,,,,,,,,
A,cuando_20,1024,49,"contradiction (AnySat context neighbours, secondary)",0.0035743170405291578,0.0023873623914680547,0.18585205078125,-8.546836127527619e-05,-0.0011002744641204591,0.0008282139204193696,0.005660979769240399,28,contradiction (AnySat local neighbours),0.15558303326595121,0.20635940306039469,0.2814614896263176,0.23906446642105686,,,,,,,,,,
A,cuando_20,1024,49,combination conf+AnySat contradiction (prereg),0.0020060131776196834,0.0008190585285585803,0.5,0.0014828355016341982,0.0004680293987890153,0.002396517783328844,0.007229283632149874,28,contradiction (AnySat local neighbours),0.90125474523481,0.7771768216431331,0.4765419282878699,0.5509701473065105,,,,,,,,,,
A,cuando_20,1024,49,weighted 0.75 conf + 0.25 contradiction (secondary),0.0022966118118324117,0.0011096571627713086,0.5,0.0011922368674214699,0.00017743076457628695,0.0021059191491161157,0.006938684997937145,28,contradiction (AnySat local neighbours),0.9818290555447818,0.8014761507017598,0.4571853964391809,0.4979368819276365,,,,,,,,,,
A,cuando_50,1024,168,confidence (baseline),0.053649177945038526,0.03930779287575223,-7.855080604553223,0.0,-0.025962827685756706,-0.024570397073428007,-0.02206391183576947,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_50,1024,168,tile-phase (aligned),0.027686350259281824,0.013344965189995523,0.07388153277105558,0.025962827685756706,0.0,0.0013924306123286982,0.003898915849987236,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_50,1024,168,boundary indicator,0.029078780871610522,0.014737395802324221,0.169189453125,0.024570397073428007,-0.0013924306123286982,0.0,0.002506485237658538,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
